cityCode,cityName,countryCode,timezone,cityLat,cityLong
FORT_LAUDERDALE,Fort Lauderdale,US,America/New_York,26.1224347,-80.13738699999999
DALYAN,Dalyan,TR,Europe/Istanbul,36.8342851,28.6425408
FETHIYE,Fethiye,TR,Europe/Istanbul,36.6593817,29.1259671
NEGRIL,Negril,JM,America/Jamaica,18.2698142,-78.34682
RIVIERA_MAYA,Riviera Maya,MX,America/Cancun,20.5590894,-87.1710678
POTSDAM,Potsdam,DE,Europe/Berlin,52.3902696,13.0658082
STOCKHOLM,Stockholm,SE,Europe/Stockholm,59.3296842,18.0684023
JEREZ,Jerez,ES,Europe/Madrid,36.6850052,-6.126068399999999
AVEIRO,Aveiro,PT,Europe/Lisbon,40.6404126,-8.653673099999999
KEMER,Kemer,TR,Europe/Istanbul,36.6032939,30.5593666
STAVANGER,Stavanger,NO,Europe/Oslo,58.9699057,5.7342917
OSLO,Oslo,NO,Europe/Oslo,59.9139499,10.7522386
TRIER,Trier,DE,Europe/Berlin,49.74975,6.63667
LUXEMBOURG,Luxembourg,LU,Europe/Luxembourg,49.817441,6.1313796
MELBOURNE,Melbourne,AU,Australia/Melbourne,-37.8135888,144.963296
SHARJAH,Sharjah,AE,Asia/Dubai,25.3476532,55.4223331
FALMOUTH,Falmouth,US,America/New_York,41.553544,-70.609284
PUNTA_CANA,Punta Cana,DO,America/Santo_Domingo,18.5808177,-68.4077077
IBIZA,Ibiza,ES,Europe/Madrid,39.02159,1.48252
TOWCESTER,Towcester,GB,Europe/London,52.134021,-0.990239
DUNSTABLE,Dunstable,GB,Europe/London,51.88562040000001,-0.5204388
MENORCA,Menorca,ES,Europe/Madrid,39.94992,4.11072
CYPRUS_-_ALL,Cyprus - All,CY,Asia/Nicosia,35.1377464,33.363322
ALNWICK,Alnwick,GB,Europe/London,55.41278519999999,-1.7062675
